id,lang,name,summary,introduction,open_time,district,address,tel,fax,lat,long,services,category,consume,update_time
1052,zh-tw,和興冰果部,豐昌商店對面的「和興冰果室」，店主人黃漢津經營冰果室已超過70年了，帶給當地街坊鄰居口中甜蜜好滋味的好所在。從前人談事情、相親、談戀愛、聚會請客都會選擇來冰果室。物質缺乏生活貧苦的年代裡，喝不起咖啡、上不起像樣的餐館，花小錢去冰果室坐吃碗冰就很滿足。高椅背加上分隔的屏風通常是為了來店吃冰約會的情侶迴避店外目光，或是過路行人窺探打擾的一種貼新設置。店內大洋綠色系的桌椅裝潢真讓人有時光一下退回50年的感覺。,豐昌商店對面的「和興冰果室」，店主人黃漢津經營冰果室已超過70年了，帶給當地街坊鄰居口中甜蜜好滋味的好所在。從前人談事情、相親、談戀愛、聚會請客都會選擇來冰果室。物質缺乏生活貧苦的年代裡，喝不起咖啡、上不起像樣的餐館，花小錢去冰果室坐吃碗冰就很滿足。高椅背加上分隔的屏風通常是為了來店吃冰約會的情侶迴避店外目光，或是過路行人窺探打擾的一種貼新設置。店內大洋綠色系的桌椅裝潢真讓人有時光一下退回50年的感覺,週二~週日09:00~17:00，週一休息,後壁區,731 臺南市後壁區菁寮里菁寮46號,+886-6-6621877,,23.37862,120.33564,,飲料冰品,美食,2022-02-02 12:04:10
1053,zh-tw,曾家豬頭飯｜ 炎師,創店已有46年的歷史，主要餐點為豬頭飯，堅持採用傳統道地作法，米粒香Q具彈性，又因口味道地，不油不膩，深受好評，讓人回味無窮。,創店已有46年的歷史，主要餐點為豬頭飯，堅持採用傳統道地作法，米粒香Q具彈性，又因口味道地，不油不膩，深受好評，讓人回味無窮,週一~週日07:00–13:00，週二休息,新營區,730 臺南市新營區新進路二段87號,+886-6-6333613,,23.30043,120.31084,,地方小吃、中式美食,美食,2021-03-04 12:02:29
1054,zh-tw,籃記東山鴨頭,配料及烹滷，由老闆獨特方式，以維持其咬勁，口味特殊的風格，持續在每天籃記堅持依循古法製作，絕不偷工減料，所以能一直維持咬勁十足，口味特殊的風格。,"配料及烹滷,由老闆獨特方式,以維持其咬勁,口味特殊的風格,持續在每天籃記堅持依循古法製作，絕不偷工減料，所以能一直維持咬勁十足，口味特殊的風格。",週一~週日13:00-18:00,東山區,733 臺南市東山區中興路11號,+886-6-6802856,,23.32416,120.40322,,中式美食、伴手好禮,美食,2022-02-02 12:01:49
1055,zh-tw,西井村蜂蜜滷味 安平店,何謂豬蹄花：“軟嫩滑Q有彈性、富含膠質”的養生聖品就是它的代名詞，西井村滷味特地嚴選CAS認證彈性最佳的豬前腿肉來做為它的食材，完全不加一滴醬油、不含防腐劑，獨樹一幟的蜂蜜口味，將震撼您的感官觸動您的味覺！,何謂豬蹄花：&ldquo;軟嫩滑Q有彈性、富含膠質&rdquo;的養生聖品就是它的代名詞，西井村滷味特地嚴選CAS認證彈性最佳的豬前腿肉來做為它的食材，完全不加一滴醬油、不含防腐劑，獨樹一幟的蜂蜜口味，將震撼您的感官觸動您的味覺！,週一~週五12:00–19:10 週六~週日10:00–21:30,安平區,708 臺南市安平區安平路418號,+886-6-2289619,+886-6-2479548,22.99821,120.17429,,中式美食、伴手好禮,美食,2022-02-02 12:03:42
1056,zh-tw,廣興肉脯店,肉干利用整塊原肉切片，配合熬煮4小時的秘方醬料一起醃製，經過一整晚後透過陽光的曝曬和含有些許蜜香的龍眼木炭文火炭烤下，呈現出南台灣艷陽特有的色澤與滋味。肉酥主要用慢慢的火把豬肉熬到糜爛而不是用粉來假裝酥脆，因為絕頂的肉酥是酥而不是脆。,肉干利用整塊原肉切片，配合熬煮4小時的秘方醬料一起醃製，經過一整晚後透過陽光的曝曬和含有些許蜜香的龍眼木炭文火炭烤下，呈現出南台灣艷陽特有的色澤與滋味。肉酥主要用慢慢的火把豬肉熬到糜爛而不是用粉來假裝酥脆，因為絕頂的肉酥是酥而不是脆。,週一~週日08:00~20:00,中西區,700 臺南市中西區府前路一段90巷62號,+886-6-2227447,,22.99025,120.20929,,伴手好禮,美食,2021-03-04 12:00:45
1057,zh-tw,台南度小月擔仔麵原始店本舖,"精緻肉燥選用優良腿肉，加上道地的台灣蔥爆炒，提高肉燥香味及口感，同時加入特製的調味料，最後經過長時間的燉煮、高溫真空殺菌，百分百保存肉燥的原味，可使消費者品嚐到度小月肉燥的精華之處。 
本店肉燥罐可以用於拌飯、拌麵、調味冷食，炒菜時加入，更可提升風味。",精緻肉燥選用優良腿肉，加上道地的台灣蔥爆炒，提高肉燥香味及口感，同時加入特製的調味料，最後經過長時間的燉煮、高溫真空殺菌，百分百保存肉燥的原味，可使消費者品嚐到度小月肉燥的精華之處。 本店肉燥罐可以用於拌飯、拌麵、調味冷食，炒菜時加入，更可提升風味。,週一~週日11:00–21:30,中西區,700 臺南市中西區中正路16號,+886-6-2231744,,22.99229,120.20366,,麵食醬料、中式美食,美食,2022-02-02 12:03:49
1058,zh-tw,楊哥楊嫂肉粽店,"創業四十年(1970年)的楊哥楊嫂，可說是台南市唯一家將肉粽店進行複合式經營的傳統店家；不只維持了本身菜棕、肉粽的風味，還開發了紫米肉粽、五穀肉粽、綠豆肉粽等新口味，還有特製粽的迷你版的小肉粽，外型小巧可愛、料又實在，一顆十元，常是店裡供不應求的長銷粽品。
楊哥楊嫂肉粽注重口感，負責粽子製程的第二代老闆楊佑忠先生說，他用生瘦肉醃製，這樣的肉質有較佳的彈性外，肉質也不會太硬，而肥肉則是前一日先和香菇炒熟，這樣的肉粽便會有二種不同的口感，香氣四溢。",創業逾四十年(1970年)的楊哥楊嫂，可說是台南市唯一家將肉粽店進行複合式經營的傳統店家;不只維持了本身菜棕、肉粽的風味，還開發了紫米肉粽、五穀肉粽、綠豆肉粽等新口味，還有特製粽的迷你版的小肉粽，外型小巧可愛、料又實在，一顆十元，常是店裡供不應求的長銷粽品。 楊哥楊嫂肉粽注重口感，負責粽子製程的第二代老闆楊佑忠先生說，他用生瘦肉醃製，這樣的肉質有較佳的彈性外，肉質也不會太硬，而肥肉則是前一日先和香菇炒熟，這樣的肉粽便會有二種不同的口感，香氣四溢。,週一~週五07:00–19:30週六~週日07:00–19:00,中西區,700 臺南市中西區慶中街41號,+886-6-2141742,,22.98426,120.20543,,地方小吃、中式美食,美食,2021-03-04 12:02:28
1059,zh-tw,小西腳碗粿,小西腳碗粿由蔡再發於民國四十一年創立，早期只是位於小西門城下的一個小攤，由於用料實在，口碑漸漸傳開來，建立了知名度。店內香Q的碗粿及用大骨和椪豆熬製的豆仔湯是饕客最愛點用的招牌商品。,"舊日小西門城,周邊俗稱『小西腳』。 小西腳碗粿是由蔡再發老先生，於日治、二戰後時期就在小西門城週邊，俗稱小西腳擺攤，販賣碗粿、豆仔湯，由於用量非常實在，口味道地，讓吃過的人，想再吃，口啤相傳，以至當時的生意非常興盛，食客絡譯不絕，建立了小西腳的知名度。 民國八十八年，蔡家兩兄弟－蔡明松及蔡明財將老店新開。新開張的碗粿店在正門口，以大型的碗粿定時會冒煙的設計，表達了醒目的招牌，同時在店內以大紅的紅帳掛飾表達了台灣人追求「圓滿」的涵意。店內的陳設非常的典雅精緻，在現代化的設計感上，傳達了古早飲食文化的傳承。蔡先生表示：「我們兩兄弟接手經營此店後，非常尊重保留父親所留下的獨家風味及烹調的技術。但是我們更希望能給客人有一個非常舒適的飲食場所及空間。除外我們引進了現代化的廚房設備及在製造過程中的流程重新加以改良。我們最重視的是客人的健康及飲食的衛生，因此在每一個碗粿的製作過程中，我們從日本引進蒸爐，注意到蒸食過程中衛生的處理。另外在廚房的四處均安置水管，加強水質的處理，以及碗具使用烘乾機器完全烘乾處理。廚房設備的改善在讓到店裡吃的客人能夠飽嚐美食之外，可以安全無慮。」 蔡先生提到台灣北部的碗粿與南部的碗粿是不相同的。北部的碗粿呈現的是白色，南部的碗粿呈現的是醬油色，中間凹陷。俗話說：「阿婆炊粿．倒塌」一碗粿好吃與否，在於粿身是否夠Ｑ；好吃的碗粿中間內凹不糊爛，主要原因除了米的品質外，蒸煮過程中爐火的溫度及水分的蒸發等，都是決定碗粿品質的因素。小西腳碗粿採用本地良質米，以祖傳燉煮的肉燥及新鮮蝦仁、香菇、蛋黃為餡料，並遵循古法配製，保留碗粿的傳統美味。在這裡我們不旦品嚐了傳統小吃，更重要的是我們看到了，蔡家兄弟在飲食業對上一代料理技術的傳承，以及新一代對現代化設施改善的努力。",週一~週日10:30–19:00,南區,702 臺南市南區夏林路1-29號,+886-6-2245000,,22.9858,120.19513,,地方小吃、麵食醬料、中式美食,美食,2021-03-04 12:00:39
1060,zh-tw,阿輝炒鱔魚,鱔魚意麵是台南特有名產。大火快炒後鱔魚的清脆爽口，加上台南的名產--意麵，以特別製作的精中寬麵條，經油炸處理製成再搭配獨特酸甜配料，烈火轟炒，轉眼間熱騰騰鱔魚意麵挑人食慾。,阿輝炒鱔魚老闆許全輝先生，傳承父親喜宴辦桌的功力，多年來已成為台南當地最知名的小吃店之一，在台南有兩間店，台北有一間店，老店位在延平市場，鱔魚是台灣南部的知名小吃，招牌的【鱔魚意麵】集合了酸、甜、鹹、辣、鮮於一碗的芡汁，醬汁是用洋蔥、胡椒粉、純米醋、糖等熬煮製作，炒的時候配上南部特有的油炸意麵與蒜頭、高麗菜、洋蔥、青蔥大火轟炒，鱔魚吃起來口感脆脆的，與帶甜味的醬汁炒起來很對味。,週一~週日15:00~00:00,北區,704 臺南市北區公園路864號,+886-6-2824606,,23.01395,120.21259,,地方小吃,美食,2021-03-04 12:01:28
1061,zh-tw,再發號肉粽,"創立於清同治期間，至今已有130多年歷史。傳承至今已是第四代，吳立源將粽子改成比一般大許多的肉粽，因而在府城小吃街眾所皆知。而再發號八寶粽一即是干貝、香菇、蝦米、扁魚酥、肉燥、栗子、鹹蛋、瘦肉等八寶。再使用三張竹葉包粽，外兩層為生桂竹葉，內層是煮過的竹葉，一個約十二兩。 
店家更強調肉粽的美味只要淋上肉汁，八寶粽中的豪華內餡，和上選長糯米，粽葉三層的包覆，把美味鮮甜，與肉汁搭配的天衣無縫。",創立於清同治期間，至今已有130多年歷史。傳承至今已是第四代，吳立源將粽子改成比一般大許多的肉粽，因而在府城小吃街眾所皆知。而再發號八寶粽一即是干貝、香菇、蝦米、扁魚酥、肉燥、栗子、鹹蛋、瘦肉等八寶。再使用三張竹葉包粽，外兩層為生桂竹葉，內層是煮過的竹葉，一個約十二兩。 店家更強調肉粽的美味只要淋上肉汁，八寶粽中的豪華內餡，和上選長糯米，粽葉三層的包覆，把美味鮮甜，與肉汁搭配的天衣無縫。,週一~週日10:00~20:30,中西區,700 臺南市中西區民權路二段71號,+886-6-2223577,,22.99436,120.20503,,地方小吃,美食,2022-02-02 12:03:09
